iter	Logloss
0	0.6777043573
1	0.66279592
2	0.6499779509
3	0.6369133735
4	0.6245669019
5	0.6140802544
6	0.6025765212
7	0.5924400313
8	0.5829792926
9	0.5740444943
10	0.5664614626
11	0.5586254827
12	0.5512027145
13	0.5434383866
14	0.5373215188
15	0.5308801154
16	0.5248251914
17	0.5197308725
18	0.5141799411
19	0.5086252837
20	0.5044662773
21	0.4995090001
22	0.4956172554
23	0.4912544029
24	0.4873697636
25	0.4834806087
26	0.4798447972
27	0.4763590431
28	0.4732924479
29	0.4704811587
30	0.4673805321
31	0.464610544
32	0.4621552728
33	0.4595705081
34	0.4572930025
35	0.4551358038
36	0.4529904307
37	0.45110213
38	0.4489714943
39	0.4482435738
40	0.4465326485
41	0.4449469893
42	0.4432543303
43	0.4416229426
44	0.4400571535
45	0.4383208065
46	0.4369068654
47	0.435351834
48	0.4337666716
49	0.4322629737
50	0.4308886725
51	0.4297156051
52	0.4285951061
53	0.4275673919
54	0.4265296065
55	0.4256967121
56	0.4248143955
57	0.4240044481
58	0.4229226618
59	0.421863486
60	0.4210640935
61	0.420088218
62	0.419233002
63	0.4183325457
64	0.4174476156
65	0.4167964568
66	0.4159733034
67	0.4153265411
68	0.4146133468
69	0.41392764
70	0.4133115633
71	0.4128008144
72	0.4119847782
73	0.4112360931
74	0.4107408032
75	0.4101075048
76	0.4095428044
77	0.4089272173
78	0.4081726551
79	0.4077065681
80	0.4072626136
81	0.4067310436
82	0.4062818365
83	0.4059092328
84	0.4053433936
85	0.4048071069
86	0.4043719785
87	0.403800629
88	0.4034911315
89	0.403038588
90	0.4026206757
91	0.4022850897
92	0.4018502453
93	0.4014462857
94	0.4010949046
95	0.4007738449
96	0.4004168675
97	0.3999762047
98	0.3996886474
99	0.3993171382
100	0.3989171401
101	0.3986695841
102	0.3984820665
103	0.3980834156
104	0.3977789299
105	0.3975077309
106	0.3972392563
107	0.3969144871
108	0.3965138705
109	0.3961784915
110	0.3959428095
111	0.3956319936
112	0.3952843286
113	0.3949299638
114	0.3946165094
115	0.3943098577
116	0.3940823854
117	0.3936800989
